Age,Gender,Mood,Genre
18,M,Happy,Indie/Acoustic
18,M,Gloomy,Instrumental
18,M,Stressed,Blues
18,M,Relaxing,Instrumental
18,M,Energetic,Pop
17,F,Happy,Pop
17,F,Gloomy,Indie/Acoustic
17,F,Stressed,Country
17,F,Relaxing,Instrumental
17,F,Energetic,EDM
17,F,Happy,Pop
17,F,Gloomy,Blues
17,F,Stressed,Indie/Acoustic
17,F,Relaxing,Hiphop
17,F,Energetic,Rock
17,F,Happy,Indie/Acoustic
17,F,Gloomy,Indie/Acoustic
17,F,Stressed,Indie/Acoustic
17,F,Relaxing,Indie/Acoustic
17,F,Energetic,Rock
17,F,Happy,Pop
17,F,Gloomy,Pop
17,F,Stressed,Pop
17,F,Relaxing,Pop
17,F,Energetic,Pop
